Team,GP,Pace,OR,DR,Net,Opp ND%,Opp MD%,Opp 3P%,Opp eFG%,Opp NDA/FGA,Opp MDA/FGA,Opp 3PA/FGA,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp AST/TO,Opp FT/G,Opp FTr
Alba Berlin,25,72.645,113.759,98.451,15.307,48.407,30.579,35.317,47.046,46.343,17.018,36.639,27.006,66.392,46.278,50.087,21.695,0.730,23.880,0.252
Artland Dragons,26,71.293,107.778,106.655,1.122,54.386,38.732,34.087,50.573,48.159,17.139,34.701,31.316,70.099,50.404,57.027,19.076,1.180,16.846,0.160
Medi Bayreuth,26,71.054,103.755,111.997,-8.242,51.981,36.872,37.234,51.650,52.855,11.358,35.787,29.067,70.237,49.254,51.058,15.838,1.230,24.308,0.217
Brose Baskets,24,70.483,112.852,101.324,11.528,51.436,40.741,33.613,49.473,51.370,15.179,33.450,29.639,70.065,49.028,56.090,21.223,0.970,17.167,0.179
EWE Baskets Oldenburg,26,71.690,112.129,106.764,5.365,54.453,35.052,34.549,48.871,42.974,24.341,32.685,30.913,71.559,50.895,48.186,18.456,0.970,21.846,0.217
Eisbaren Bremerhaven,26,71.903,108.373,110.994,-2.621,55.875,34.426,37.056,52.569,48.930,14.924,36.147,31.183,61.574,45.819,53.467,17.331,1.240,18.962,0.172
FC Bayern Muenchen,26,72.631,119.790,103.084,16.706,52.547,36.201,34.294,49.292,42.277,17.169,40.554,26.110,67.680,46.238,56.831,18.814,1.100,17.731,0.181
Fraport Skyliners,23,68.916,102.746,107.871,-5.125,51.779,40.625,37.913,52.094,41.293,16.458,42.248,29.188,72.352,49.901,57.333,19.882,1.070,18.783,0.188
Rasta Vechta,26,73.122,104.067,112.547,-8.480,58.554,39.608,33.744,52.403,44.301,15.712,39.988,32.511,63.645,48.908,56.140,18.897,1.150,22.923,0.209
Mitteldeutscher BC,25,72.315,106.465,110.244,-3.779,56.434,38.112,35.990,52.392,54.751,18.487,26.761,32.442,72.198,52.881,44.429,18.347,0.980,22.080,0.195
MHP Riesen Ludwigsburg,25,72.339,109.875,108.059,1.816,56.260,37.788,32.990,50.761,44.744,15.007,40.249,27.425,67.692,47.679,53.292,19.642,0.950,26.080,0.253
New Yorker Phantoms Braunschweig,26,71.681,106.106,110.858,-4.753,55.280,45.417,33.099,51.829,49.907,14.879,35.214,32.111,73.933,52.905,52.022,18.743,1.100,20.423,0.195
Phoenix Hagen,26,77.131,105.854,110.221,-4.367,56.306,39.535,35.622,53.167,54.080,13.094,32.826,34.017,69.469,52.728,56.628,21.588,1.010,24.423,0.214
Ratiopharm Ulm,25,72.896,114.050,106.787,7.263,53.005,36.027,36.102,50.309,45.213,18.345,36.442,29.712,67.522,48.174,53.814,18.560,1.100,19.000,0.179
TBB Trier,26,70.218,107.960,110.808,-2.848,54.047,36.842,36.007,51.673,47.835,13.714,38.451,32.766,71.192,52.237,51.320,18.623,1.030,22.731,0.221
Telekom Baskets Bonn,26,71.150,110.233,107.543,2.690,55.793,37.607,36.673,52.750,51.997,15.324,32.678,31.541,72.319,52.827,48.880,21.358,0.880,20.000,0.194
Walter Tigers Tuebingen,25,72.281,97.564,113.447,-15.883,59.336,40.167,35.355,53.996,46.979,15.530,37.492,28.504,74.208,52.211,55.830,17.266,1.300,20.880,0.189
s.Oliver Baskets,26,71.610,101.454,106.639,-5.185,56.738,33.778,34.558,51.439,46.109,14.716,39.176,27.163,75.717,51.347,55.637,18.227,1.110,22.962,0.212
