Team,GP,Pace,OffRtg,DefRtg,NetRtg,Opp ND%,Opp MD%,Opp 3P%,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
Alba Berlin,26,72.4,113.0,98.1,14.9,48.0,30.2,35.3,46.8,27.8,66.6,46.7,51.0,22.1,23.8,0.252
Artland Dragons,27,71.5,108.0,105.9,2.1,54.0,38.9,33.8,50.2,31.1,69.9,50.1,56.8,19.0,16.5,0.158
Medi Bayreuth,27,70.8,104.4,112.7,-8.3,52.0,36.8,37.4,51.8,29.3,70.2,49.4,50.7,15.7,24.4,0.217
Brose Baskets,25,70.6,113.5,100.7,12.8,51.4,40.4,33.4,49.3,29.6,69.8,48.9,55.2,21.5,17.2,0.179
EWE Baskets Oldenburg,27,71.7,112.1,106.7,5.5,55.3,34.9,34.0,49.0,31.3,71.7,51.1,47.8,18.7,22.1,0.217
Eisbaeren Bremerhaven,27,71.7,107.7,110.4,-2.7,56.0,34.4,36.1,52.1,31.1,61.3,45.7,53.2,17.1,18.9,0.172
FC Bayern Muenchen,27,72.4,120.7,103.8,16.8,53.0,36.2,34.4,49.6,26.1,67.3,46.0,56.3,18.6,17.5,0.178
Fraport Skyliners,24,68.8,102.9,107.6,-4.7,51.6,39.3,37.6,51.6,29.6,72.2,50.0,56.9,19.9,19.2,0.193
Rasta Vechta,27,73.1,104.1,112.5,-8.5,58.7,39.3,33.8,52.5,32.3,63.4,48.7,56.2,19.1,23.3,0.214
Mitteldeutscher BC,26,72.1,106.7,110.1,-3.4,56.1,38.9,35.8,52.3,32.2,72.1,52.7,44.7,18.2,21.7,0.192
MHP Riesen Ludwigsburg,26,72.4,109.0,108.9,0.1,55.9,39.6,33.8,51.4,27.8,67.8,48.0,55.1,19.6,26.3,0.250
NY Phantoms Braunschweig,27,71.5,106.1,110.9,-4.8,55.4,45.8,32.9,51.9,32.0,73.9,52.9,51.6,18.6,20.2,0.193
Phoenix Hagen,27,77.1,105.2,110.3,-5.2,56.8,39.5,36.1,53.6,34.0,69.7,52.9,57.4,21.8,24.1,0.209
Ratiopharm Ulm,26,72.7,113.6,106.8,6.8,53.2,35.1,36.5,50.4,29.7,67.3,48.1,54.2,18.6,18.9,0.178
TBB Trier,27,70.0,107.8,111.0,-3.1,53.7,35.8,35.9,51.3,33.1,71.2,52.3,52.3,18.5,22.6,0.222
Telekom Baskets Bonn,27,70.9,111.0,108.0,3.0,56.5,37.9,36.1,52.8,31.5,72.0,52.6,48.3,21.1,19.9,0.192
Walter Tigers Tuebingen,26,72.0,98.2,113.1,-15.0,59.0,40.3,35.4,53.9,28.5,73.6,52.0,55.7,17.6,21.0,0.193
s.Oliver Baskets,27,71.5,102.2,108.0,-5.7,57.2,34.2,34.9,51.9,27.6,75.7,51.7,55.7,18.0,23.1,0.212
