Team,GP,W,L,NDM,NDA,ND%,MDM,MDA,MD%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,Total Points
Brose Baskets,23,16,7,26,43,60.5,1,7,14.3,12,37,32.4,39,87,44.8,46,72,63.9,136
EWE Baskets Oldenburg,14,10,4,20,45,44.4,5,14,35.7,10,20,50.0,35,79,44.3,55,67,82.1,135
ratiopharm ulm,20,10,10,46,72,63.9,2,16,12.5,13,55,23.6,61,143,42.7,75,100,75.0,210
FC Bayern Muenchen,14,11,3,16,24,66.7,2,22,9.1,7,25,28.0,25,71,35.2,52,58,89.7,109
ALBA BERLIN,13,7,6,20,29,69.0,4,11,36.4,5,28,17.9,29,68,42.6,48,66,72.7,111
Artland Dragons,23,16,7,31,60,51.7,6,22,27.3,16,50,32.0,53,132,40.2,84,106,79.2,206
Telekom Baskets Bonn,22,14,8,37,77,48.1,3,18,16.7,21,58,36.2,61,153,39.9,71,94,75.5,214
Phoenix Hagen,19,11,8,24,49,49.0,4,24,16.7,8,30,26.7,36,103,35.0,47,56,83.9,127
s.Oliver Baskets,15,4,11,14,29,48.3,4,8,50.0,13,36,36.1,31,73,42.5,30,43,69.8,105
WALTER Tigers Tuebingen,14,5,9,15,32,46.9,4,9,44.4,9,28,32.1,28,69,40.6,31,40,77.5,96
Eisbaeren Bremerhaven,17,6,11,19,42,45.2,2,15,13.3,11,32,34.4,32,89,36.0,41,45,91.1,116
TBB Trier,20,9,11,15,36,41.7,4,11,36.4,7,30,23.3,26,77,33.8,46,65,70.8,105
NY Phantoms Braunschweig,25,9,16,34,50,68.0,3,20,15.0,17,59,28.8,54,129,41.9,65,79,82.3,190
FRAPORT SKYLINERS,19,9,10,25,47,53.2,5,13,38.5,13,52,25.0,43,112,38.4,61,77,79.2,160
medi bayreuth,17,3,14,16,42,38.1,7,15,46.7,8,32,25.0,31,89,34.8,23,33,69.7,93
Mitteldeutscher BC,19,12,7,33,53,62.3,5,13,38.5,12,52,23.1,50,118,42.4,69,100,69.0,181
RASTA Vechta,21,5,16,23,54,42.6,2,9,22.2,8,28,28.6,33,91,36.3,38,55,69.1,112
MHP RIESEN Ludwigsburg,21,11,10,25,46,54.3,6,17,35.3,12,42,28.6,43,105,41.0,50,73,68.5,148
