Team,GP,DefRtg,OppeFG%,DRB%,OppTOV%,OppFTr
ALBA BERLIN,37,102.6,51.2,74.1,20.4,0.437
Telekom Baskets Bonn,34,114.8,55.1,70.7,14.9,0.323
ratiopharm ulm,41,107.5,53,72.3,17.7,0.301
Brose Baskets,40,97.6,46.9,72.7,18.5,0.326
LTi GIESSEN 46ers,34,108.3,54,68.5,19.8,0.292
Basketball Loewen Braunschweig,34,105.1,51.3,68.5,19.2,0.291
medi bayreuth,34,115.4,56.6,68.5,17.3,0.332
FRAPORT SKYLINERS,40,96.9,49.1,72.9,23.1,0.385
Mitteldeutscher BC,34,116.4,53.4,64.2,16.1,0.333
EWE Baskets Oldenburg,38,106.2,50.2,69.5,16.7,0.313
WALTER Tigers Tuebingen,34,113.1,57.3,74.4,17.9,0.342
MHP RIESEN Ludwigsburg,39,106.7,52.3,72.7,19.4,0.452
Eisbaeren Bremerhaven,34,112.1,54.6,68.5,17.9,0.33
Crailsheim Merlins,34,119.1,55.5,66.8,15.4,0.382
Phoenix Hagen,34,112.2,53.9,68.5,17,0.371
BG Goettingen,34,116.1,55.9,67.1,17.5,0.371
FC Bayern Muenchen,42,104.4,52.3,72.4,19,0.273
s.Oliver Baskets,37,113.2,54.9,67.7,18.1,0.338
