Team,GP,ND/FG,MD/FG,3P/FG,FTr
ALBA BERLIN,34,47.6,17.2,35.2,0.397
Telekom Baskets Bonn,34,47,14,39.1,0.335
ratiopharm ulm,34,46.6,19.1,34.3,0.404
Brose Baskets,34,43.5,16.9,39.7,0.388
LTi GIESSEN 46ers,34,44.7,18,37.3,0.319
Basketball Loewen Braunschweig,34,52.8,16.7,30.5,0.351
medi bayreuth,34,46.8,15.3,37.9,0.272
FRAPORT SKYLINERS,34,45,14,41,0.361
Mitteldeutscher BC,34,44.8,11.6,43.7,0.3
EWE Baskets Oldenburg,34,49.5,11.6,38.9,0.347
WALTER Tigers Tuebingen,34,43.6,20.4,36,0.302
MHP RIESEN Ludwigsburg,34,50.2,15.5,34.3,0.35
Eisbaeren Bremerhaven,34,49.2,16.5,34.3,0.359
Crailsheim Merlins,34,44.2,19.6,36.1,0.282
Phoenix Hagen,34,44.8,13.8,41.4,0.363
BG Goettingen,34,41.3,15.8,42.9,0.249
FC Bayern Muenchen,34,45.4,20.6,33.9,0.391
s.Oliver Baskets,34,50.8,14.8,34.4,0.298
